Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time (mins),Rank,Genre,combined_text,cleaned_text,KMeans_Cluster,DBSCAN_Cluster,HDBSCAN_Cluster
Best Indian Tales and Stories for Kids,div.,4.5,267,187,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",27.0,1,"Fairy Tales, Folk Tales & Myths for Children","Best Indian Tales and Stories for Kids 
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",best indian tale story kid completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,0,3,-1
"Money, and the Law of Attraction: Learning to Attract Wealth, Health, and Happiness",Esther Hicks,4.8,108,702,"As Abraham says: ""There is enough for everyone. The key is for each of you is to see it and want it - and then you will attract it. Know that you have the power to bring into your life whatever you desire. Affirm that money flows to you easily and that you have an unlimited supply of abundance and prosperity"".",447.0,1,New Thought Spirituality,"Money, and the Law of Attraction: Learning to Attract Wealth, Health, and Happiness As Abraham says: ""There is enough for everyone. The key is for each of you is to see it and want it - and then you will attract it. Know that you have the power to bring into your life whatever you desire. Affirm that money flows to you easily and that you have an unlimited supply of abundance and prosperity"".",money law attraction learning attract wealth health happiness abraham say enough everyone key see want attract know power bring life whatever desire affirm money flow easily unlimited supply abundance prosperity,0,3,-1
Namak Swadanusar,Nikhil Sachan,3.7,284,501,"A collection of tales ranging from childhood fantasies to exploring the darkness of human existence, tales that will make you nostalgic, that will tell your story, that will shock you and those that will take you to your favorite places. Guiding these tales are a motley group of characters ranging from a side hero who daydreams about Mithun and Bacchan to kids who believe in the reality of Nagraj, Ajooba and Super Commando Dhruv. Namak Swadanusar, as the name suggests, will add salt to your plate and increase the taste of your literary collection.",268.0,1,"Crime, Thriller & Mystery","Namak Swadanusar A collection of tales ranging from childhood fantasies to exploring the darkness of human existence, tales that will make you nostalgic, that will tell your story, that will shock you and those that will take you to your favorite places. Guiding these tales are a motley group of characters ranging from a side hero who daydreams about Mithun and Bacchan to kids who believe in the reality of Nagraj, Ajooba and Super Commando Dhruv. Namak Swadanusar, as the name suggests, will add salt to your plate and increase the taste of your literary collection.",namak swadanusar collection tale ranging childhood fantasy exploring darkness human existence tale make nostalgic tell story shock take favorite place guiding tale motley group character ranging side hero daydream mithun bacchan kid believe reality nagraj ajooba super commando dhruv namak swadanusar name suggests add salt plate increase taste literary collection,0,9,7
The Rig Veda,Anonymous,4.1,54,2088,"Often appearing as Ṛgveda, the oldest of the four sacred books linked to Hinduism, it was composed in an ancient form of Sanskrit about 1500 BCE. The Rig Veda (Sanskrit: The Knowledge of Verses) was preserved in secrecy by ancient clans, initially orally, before it was written down about 300 BCE. ",2482.0,311,Hinduism,"The Rig Veda Often appearing as Ṛgveda, the oldest of the four sacred books linked to Hinduism, it was composed in an ancient form of Sanskrit about 1500 BCE. The Rig Veda (Sanskrit: The Knowledge of Verses) was preserved in secrecy by ancient clans, initially orally, before it was written down about 300 BCE. ",rig veda often appearing gveda oldest four sacred book linked hinduism composed ancient form sanskrit bce rig veda sanskrit knowledge verse preserved secrecy ancient clan initially orally written bce,0,39,3
"Crushing It!: How Great Entrepreneurs Build Their Business and Influence-and How You Can, Too",Gary Vaynerchuk,4.6,1732,11862,Four-time New York Times best-selling author Gary Vaynerchuk offers new lessons and inspiration drawn from the experiences of dozens of influencers and entrepreneurs who rejected the predictable corporate path in favor of pursuing their dreams by building thriving businesses and extraordinary personal brands. ,482.0,551,Marketing,"Crushing It!: How Great Entrepreneurs Build Their Business and Influence-and How You Can, Too Four-time New York Times best-selling author Gary Vaynerchuk offers new lessons and inspiration drawn from the experiences of dozens of influencers and entrepreneurs who rejected the predictable corporate path in favor of pursuing their dreams by building thriving businesses and extraordinary personal brands. ",crushing great entrepreneur build business influenceand fourtime new york time bestselling author gary vaynerchuk offer new lesson inspiration drawn experience dozen influencers entrepreneur rejected predictable corporate path favor pursuing dream building thriving business extraordinary personal brand,0,62,26
"The DevOps Handbook: How to Create World-Class Agility, Reliability, and Security in Technology Organizations",Gene Kim,4.6,749,836,"Increase profitability, elevate work culture, and exceed productivity goals through DevOps practices. ",775.0,377,Textbooks & Study Guides,"The DevOps Handbook: How to Create World-Class Agility, Reliability, and Security in Technology Organizations Increase profitability, elevate work culture, and exceed productivity goals through DevOps practices. ",devops handbook create worldclass agility reliability security technology organization increase profitability elevate work culture exceed productivity goal devops practice,0,27,38
The Dhammapada,Eknath Easwaran,4.8,373,233,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",485.5,3,Theology & Philosophy of Religion,"The Dhammapada Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",dhammapada sorry need make sure youre robot best result please make sure browser accepting cooky,1,16,2
"Nudge: Improving Decisions About Health, Wealth, and Happiness [Expanded Edition]",Richard H. Thaler,4.4,900,694,"Our mistakes make us poorer and less healthy; we often make bad decisions involving education, personal finance, health care, mortgages and credit cards, the family, and even the planet itself.",686.0,144,Psychology,"Nudge: Improving Decisions About Health, Wealth, and Happiness [Expanded Edition] Our mistakes make us poorer and less healthy; we often make bad decisions involving education, personal finance, health care, mortgages and credit cards, the family, and even the planet itself.",nudge improving decision health wealth happiness expanded edition mistake make poorer le healthy often make bad decision involving education personal finance health care mortgage credit card family even planet,0,63,35
Stillness Speaks,Eckhart Tolle,4.7,875,421,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",485.5,3,Theology & Philosophy of Religion,"Stillness Speaks Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",stillness speaks sorry need make sure youre robot best result please make sure browser accepting cooky,1,16,2
Banaras Talkies (Hindi Edition),Satya Vyas,4.4,910,668,A perfect college. Three imperfect students. A caring hostel. Three careless mates. The decisive years. Three ignorant souls. A bomb blast and a close shave. Welcome to life through the gate of BHU.,360.0,1,Contemporary Romance,Banaras Talkies (Hindi Edition) A perfect college. Three imperfect students. A caring hostel. Three careless mates. The decisive years. Three ignorant souls. A bomb blast and a close shave. Welcome to life through the gate of BHU.,banaras talkie hindi edition perfect college three imperfect student caring hostel three careless mate decisive year three ignorant soul bomb blast close shave welcome life gate bhu,0,51,36
The 22 Immutable Laws of Marketing,Al Ries,4.5,758,7906,"There are laws of nature, so why shouldn’t there be laws of marketing? ",485.5,3,Advertising,"The 22 Immutable Laws of Marketing There are laws of nature, so why shouldn’t there be laws of marketing? ",immutable law marketing law nature shouldnt law marketing,0,3,-1
"The Art of Startup Fundraising: Pitching Investors, Negotiating the Deal, and Everything Else Entrepreneurs Need to Know",Alejandro Cremades,4.4,93,668,"Startup money is moving online, and this guide shows you how it works. ",384.0,1,Microeconomics,"The Art of Startup Fundraising: Pitching Investors, Negotiating the Deal, and Everything Else Entrepreneurs Need to Know Startup money is moving online, and this guide shows you how it works. ",art startup fundraising pitching investor negotiating deal everything else entrepreneur need know startup money moving online guide show work,0,3,99
Deep Work: Retrouver la concentration dans un monde de distractions,Cal Newport,4.5,38,641,"La capacité qui revêt le plus de valeur dans notre économie se fait de plus en plus rare. Celui qui la développe se donne les moyens d'accomplir de grandes choses. Le travail en profondeur, ou deep work, désigne une activité professionnelle menée dans un état de concentration absolue qui pousse nos capacités cognitives jusqu'à leurs limites. Ces efforts créent de la valeur, affinent nos compétences et sont difficiles à reproduire. En d'autres termes, le travail en profondeur est comme un superpouvoir dans notre économie toujours plus concurrentielle.",491.0,3,Literature & Fiction,"Deep Work: Retrouver la concentration dans un monde de distractions La capacité qui revêt le plus de valeur dans notre économie se fait de plus en plus rare. Celui qui la développe se donne les moyens d'accomplir de grandes choses. Le travail en profondeur, ou deep work, désigne une activité professionnelle menée dans un état de concentration absolue qui pousse nos capacités cognitives jusqu'à leurs limites. Ces efforts créent de la valeur, affinent nos compétences et sont difficiles à reproduire. En d'autres termes, le travail en profondeur est comme un superpouvoir dans notre économie toujours plus concurrentielle.",deep work retrouver concentration dans monde distraction capacit qui revt plus valeur dans notre conomie fait plus plus rare celui qui dveloppe donne le moyens daccomplir grandes choses travail profondeur deep work dsigne une activit professionnelle mene dans tat concentration absolue qui pousse no capacits cognitives jusqu leurs limites ce effort crent valeur affinent no comptences sont difficiles reproduire dautres termes travail profondeur est comme superpouvoir dans notre conomie toujours plus concurrentielle,0,46,47
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),Philippa Perry,4.6,1415,888,Brought to you by Penguin.,502.0,231,Fatherhood,The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did) Brought to you by Penguin.,book wish parent read child glad brought penguin,0,3,96
Secrets to Winning at Office Politics: How to Achieve Your Goals and Increase Your Influence at Work,Marie G. McIntyre PhD,4.4,186,586,"Get ahead, Gain influence, Get what you want",550.0,1,Analysis & Strategy,"Secrets to Winning at Office Politics: How to Achieve Your Goals and Increase Your Influence at Work Get ahead, Gain influence, Get what you want",secret winning office politics achieve goal increase influence work get ahead gain influence get want,0,4,21
A Dance with Dragons: Book 5 of A Song of Ice and Fire,George R. R. Martin,4.4,10368,18149,"The complete, unabridged audiobook of A Dance with Dragons. ",2933.0,1,Action & Adventure Fiction,"A Dance with Dragons: Book 5 of A Song of Ice and Fire The complete, unabridged audiobook of A Dance with Dragons. ",dance dragon book song ice fire complete unabridged audiobook dance dragon,0,3,92
"The Four: The Hidden DNA of Amazon, Apple, Facebook and Google",Scott Galloway,4.5,852,683,"Random House presents the audiobook edition of The Four by Scott Galloway, read by Jonathan Todd Ross. ",512.0,372,Economics,"The Four: The Hidden DNA of Amazon, Apple, Facebook and Google Random House presents the audiobook edition of The Four by Scott Galloway, read by Jonathan Todd Ross. ",four hidden dna amazon apple facebook google random house present audiobook edition four scott galloway read jonathan todd ross,0,72,74
Radical Candor: How to Get What You Want by Saying What You Mean,Kim Scott,4.6,1208,323,"The old adage is ingrained in us that if you don't have anything nice to say then don't say anything at all. While this advice may work for home life, as Kim Scott has seen firsthand, it is a disaster when adopted by managers in the workplace. ",563.0,547,Leadership,"Radical Candor: How to Get What You Want by Saying What You Mean The old adage is ingrained in us that if you don't have anything nice to say then don't say anything at all. While this advice may work for home life, as Kim Scott has seen firsthand, it is a disaster when adopted by managers in the workplace. ",radical candor get want saying mean old adage ingrained dont anything nice say dont say anything advice may work home life kim scott seen firsthand disaster adopted manager workplace,0,50,14
The Swap,Shuma Raha,3.7,47,668,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",485.5,3,Theology & Philosophy of Religion,"The Swap Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",swap sorry need make sure youre robot best result please make sure browser accepting cooky,1,16,2
The Diary of a Young Girl [Hindi],Anne Frank,4.3,166,836,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",485.5,3,Fantasy,"The Diary of a Young Girl [Hindi] 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",diary young girl hindi oops rush hour traffic piling page please try short whileif trying place order processed time amazonin home page continue shopping,2,8,0
Models: Attract Women Through Honesty,Mark Manson,4.7,1062,603,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",485.5,3,Theology & Philosophy of Religion,"Models: Attract Women Through Honesty Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",model attract woman honesty sorry need make sure youre robot best result please make sure browser accepting cooky,1,16,2
"The Titan's Curse: Percy Jackson, Book 3",Rick Riordan,4.7,3236,888,"The third fantasy adventure in the Percy Jackson series is now available to download, complete and unabridged, on audio.",528.0,1,Action & Adventure Fantasy for Children,"The Titan's Curse: Percy Jackson, Book 3 The third fantasy adventure in the Percy Jackson series is now available to download, complete and unabridged, on audio.",titan curse percy jackson book third fantasy adventure percy jackson series available download complete unabridged audio,0,69,53
Feeling Good: The New Mood Therapy,David D. Burns,4.3,3193,13840,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",485.5,3,Theology & Philosophy of Religion,"Feeling Good: The New Mood Therapy Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",feeling good new mood therapy sorry need make sure youre robot best result please make sure browser accepting cooky,1,16,2
"The Sea of Monsters: Percy Jackson, Book 2",Rick Riordan,4.7,3580,888,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",485.5,3,Fantasy,"The Sea of Monsters: Percy Jackson, Book 2 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",sea monster percy jackson book oops rush hour traffic piling page please try short whileif trying place order processed time amazonin home page continue shopping,2,8,0
I'm Thinking of Ending Things,Iain Reid,3.9,951,569,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",485.5,3,Fantasy,"I'm Thinking of Ending Things 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",thinking ending thing oops rush hour traffic piling page please try short whileif trying place order processed time amazonin home page continue shopping,2,8,0
"The Complete Conversations with God: An Uncommon Dialogue: Books I, II & III",Neale Donald Walsch,4.7,792,1640,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",485.5,3,Theology & Philosophy of Religion,"The Complete Conversations with God: An Uncommon Dialogue: Books I, II & III Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",complete conversation god uncommon dialogue book iii sorry need make sure youre robot best result please make sure browser accepting cooky,1,16,2
Advanced Techniques in Day Trading: A Practical Guide to High Probability Strategies and Methods,Andrew Aziz,4.5,498,668,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",485.5,3,Theology & Philosophy of Religion,"Advanced Techniques in Day Trading: A Practical Guide to High Probability Strategies and Methods Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",advanced technique day trading practical guide high probability strategy method sorry need make sure youre robot best result please make sure browser accepting cooky,1,16,2
The Secret: Teachers Recorded Live,Bob Proctor,4.5,267,1054," Now you can take lessons learned from The Secret to the next level with hours of practical information recorded at sold-out seminars. Experience what thousands have described as the ""event of a lifetime"" in the comfort of your home, car, or anywhere you go, listening over and over. Share The Secret with your family, friends, and colleagues. This astonishing program includes all the resources you will ever need to understand and live The Secret. Now you will know and hear The Secret. And it could change your life forever.",330.0,1,Personal Development & Self-Help,"The Secret: Teachers Recorded Live  Now you can take lessons learned from The Secret to the next level with hours of practical information recorded at sold-out seminars. Experience what thousands have described as the ""event of a lifetime"" in the comfort of your home, car, or anywhere you go, listening over and over. Share The Secret with your family, friends, and colleagues. This astonishing program includes all the resources you will ever need to understand and live The Secret. Now you will know and hear The Secret. And it could change your life forever.",secret teacher recorded live take lesson learned secret next level hour practical information recorded soldout seminar experience thousand described event lifetime comfort home car anywhere listening share secret family friend colleague astonishing program includes resource ever need understand live secret know hear secret could change life forever,0,2,10
Atomic Attraction: The Psychology of Attraction,Christopher Canwell,4.7,234,668,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",485.5,3,Fantasy,"Atomic Attraction: The Psychology of Attraction 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",atomic attraction psychology attraction oops rush hour traffic piling page please try short whileif trying place order processed time amazonin home page continue shopping,2,8,0
"Sell: The Art, the Science, the Witchcraft",Subroto Bagchi,4.2,60,501,"‘Everyone is a salesperson by some measure and selling is not a pushy, winner-take-all, macho act. It is an empathy-led, process-driven, knowledge-intensive discipline.’ ",291.0,869,Analysis & Strategy,"Sell: The Art, the Science, the Witchcraft ‘Everyone is a salesperson by some measure and selling is not a pushy, winner-take-all, macho act. It is an empathy-led, process-driven, knowledge-intensive discipline.’ ",sell art science witchcraft everyone salesperson measure selling pushy winnertakeall macho act empathyled processdriven knowledgeintensive discipline,0,4,21
Business Adventures: Twelve Classic Tales from the World of Wall Street,John Brooks,4.2,628,1131,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",485.5,3,Fantasy,"Business Adventures: Twelve Classic Tales from the World of Wall Street 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",business adventure twelve classic tale world wall street oops rush hour traffic piling page please try short whileif trying place order processed time amazonin home page continue shopping,2,8,0
Caste Matters,Suraj Yengde,4.6,93,879,"In this explosive book, Suraj Yengde, a first-generation Dalit scholar educated across continents, challenges deep-seated beliefs about caste and unpacks its many layers. He describes his gut-wrenching experiences of growing up in a Dalit basti, the multiple humiliations suffered by Dalits on a daily basis, and their incredible resilience enabled by love and humour. As he brings to light the immovable glass ceiling that exists for Dalits even in politics, bureaucracy, and judiciary, Yengde provides an unflinchingly honest account of divisions within the Dalit community itself - from their internal caste divisions to the conduct of elite Dalits and their tokenized forms of modern-day untouchability - all operating under the inescapable influences of Brahminical doctrines.",672.0,283,Buddhism,"Caste Matters In this explosive book, Suraj Yengde, a first-generation Dalit scholar educated across continents, challenges deep-seated beliefs about caste and unpacks its many layers. He describes his gut-wrenching experiences of growing up in a Dalit basti, the multiple humiliations suffered by Dalits on a daily basis, and their incredible resilience enabled by love and humour. As he brings to light the immovable glass ceiling that exists for Dalits even in politics, bureaucracy, and judiciary, Yengde provides an unflinchingly honest account of divisions within the Dalit community itself - from their internal caste divisions to the conduct of elite Dalits and their tokenized forms of modern-day untouchability - all operating under the inescapable influences of Brahminical doctrines.",caste matter explosive book suraj yengde firstgeneration dalit scholar educated across continent challenge deepseated belief caste unpacks many layer describes gutwrenching experience growing dalit basti multiple humiliation suffered dalits daily basis incredible resilience enabled love humour brings light immovable glass ceiling exists dalits even politics bureaucracy judiciary yengde provides unflinchingly honest account division within dalit community internal caste division conduct elite dalits tokenized form modernday untouchability operating inescapable influence brahminical doctrine,0,73,64
Just Drive me Crazy: Love in Times of Tinder,Shanaya Taneja,4.0,1,0,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",485.5,3,Fantasy,"Just Drive me Crazy: Love in Times of Tinder 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",drive crazy love time tinder oops rush hour traffic piling page please try short whileif trying place order processed time amazonin home page continue shopping,2,8,0
HBR's 10 Must Reads on Managing Yourself,Harvard Business Review,4.5,313,668,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",485.5,3,Fantasy,"HBR's 10 Must Reads on Managing Yourself 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",hbrs must read managing oops rush hour traffic piling page please try short whileif trying place order processed time amazonin home page continue shopping,2,8,0
Teachings of Vivekananda,Vivekananda,4.5,267,1032,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",485.5,3,Fantasy,"Teachings of Vivekananda 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",teaching vivekananda oops rush hour traffic piling page please try short whileif trying place order processed time amazonin home page continue shopping,2,8,0
Meditations: Penguin Classics,Marcus Aurelius,4.5,267,888,Brought to you by Penguin.   ,485.5,3,Personal Success,Meditations: Penguin Classics Brought to you by Penguin.   ,meditation penguin classic brought penguin,0,1,20
Train to Pakistan,Khushwant Singh,4.4,1369,754,"Mano Majra is a place, Khushwant Singh tells us at the beginning of this classic novel, where Sikhs and Muslims have lived together in peace for hundreds of years. Then one day, at the end of the summer, the ""ghost train"" arrives, a silent, incredible funeral train loaded with the bodies of thousands of refuges, bringing the village its first taste of the horrors of the civil war. Train to Pakistan is the story of this isolated village that is plunged into the abyss of religious hate. It is also the story of a Sikh boy and a Muslim girl whose love endures and transcends the ravages of war.",386.0,295,Historical Fiction,"Train to Pakistan Mano Majra is a place, Khushwant Singh tells us at the beginning of this classic novel, where Sikhs and Muslims have lived together in peace for hundreds of years. Then one day, at the end of the summer, the ""ghost train"" arrives, a silent, incredible funeral train loaded with the bodies of thousands of refuges, bringing the village its first taste of the horrors of the civil war. Train to Pakistan is the story of this isolated village that is plunged into the abyss of religious hate. It is also the story of a Sikh boy and a Muslim girl whose love endures and transcends the ravages of war.",train pakistan mano majra place khushwant singh tell beginning classic novel sikh muslim lived together peace hundred year one day end summer ghost train arrives silent incredible funeral train loaded body thousand refuge bringing village first taste horror civil war train pakistan story isolated village plunged abyss religious hate also story sikh boy muslim girl whose love endures transcends ravage war,0,53,30
HBR's 10 Must Reads on Design Thinking: HBR's 10 Must Reads Series,Harvard Business Review,4.6,7,586,Use design thinking for competitive advantage.,485.5,3,Interior Design,HBR's 10 Must Reads on Design Thinking: HBR's 10 Must Reads Series Use design thinking for competitive advantage.,hbrs must read design thinking hbrs must read series use design thinking competitive advantage,0,3,94
Everyone Has a Story,Savi Sharma,4.1,4943,501,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",485.5,3,Fantasy,"Everyone Has a Story 

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",everyone story oops rush hour traffic piling page please try short whileif trying place order processed time amazonin home page continue shopping,2,8,0
The Code of the Extraordinary Mind by Vishen Lakhiani - Book Summary,Dean Bokhari,4.5,267,117,Book summary of The Code of The Extraordinary Mind by Vishen Lakhiani.,37.0,732,Personal Development & Self-Help,The Code of the Extraordinary Mind by Vishen Lakhiani - Book Summary Book summary of The Code of The Extraordinary Mind by Vishen Lakhiani.,code extraordinary mind vishen lakhiani book summary book summary code extraordinary mind vishen lakhiani,0,2,10
A Prisoner of Birth,Jeffrey Archer,4.6,2287,323,You heard it here first: The unabridged edition of A Prisoner of Birth is only available as a download.,982.0,1,"Crime, Thriller & Mystery",A Prisoner of Birth You heard it here first: The unabridged edition of A Prisoner of Birth is only available as a download.,prisoner birth heard first unabridged edition prisoner birth available download,0,9,7
You Are the Guru: 6 Messages to Help You Move Through Difficult Times with Certainty and Faith,Gabrielle Bernstein,4.5,267,836,You Are the Guru: 6 Messages to Move You Through Difficult Times with Certainty and Faith,212.0,425,Personal Development & Self-Help,You Are the Guru: 6 Messages to Help You Move Through Difficult Times with Certainty and Faith You Are the Guru: 6 Messages to Move You Through Difficult Times with Certainty and Faith,guru message help move difficult time certainty faith guru message move difficult time certainty faith,0,2,10
Life 3.0,Rob Shapiro,4.4,993,888,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",485.5,3,Theology & Philosophy of Religion,"Life 3.0 Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",life sorry need make sure youre robot best result please make sure browser accepting cooky,1,16,2
"You're a Miracle (and a Pain in the Ass): Embracing the Emotions, Habits, and Mystery That Make You You",Mike McHargue,4.8,100,754,"""Holding brain science in one hand and rich emotional presence in the other, this book feels timely and necessary."" (Shauna Niequist, New York Times best-selling author of Present Over Perfect)",353.0,971,Personal Success,"You're a Miracle (and a Pain in the Ass): Embracing the Emotions, Habits, and Mystery That Make You You ""Holding brain science in one hand and rich emotional presence in the other, this book feels timely and necessary."" (Shauna Niequist, New York Times best-selling author of Present Over Perfect)",youre miracle pain as embracing emotion habit mystery make holding brain science one hand rich emotional presence book feel timely necessary shauna niequist new york time bestselling author present perfect,0,1,20
"The Son of Neptune: The Heroes of Olympus, Book 2",Rick Riordan,4.7,3478,888,"Penguin presents, this downloadable, unabridged audiobook edition of the second title in this number one, bestselling spin-off series from Percy Jackson creator, Rick Riordan. This crazy messed up world of gods and monsters is Percy Jackson's reality, which pretty much sucks for him. Percy Jackson, son of Poseidon, God of the Sea, has woken from a very deep sleep and come face to face with two snake-haired ladies who refuse to die.",808.0,3,Children's Fantasy,"The Son of Neptune: The Heroes of Olympus, Book 2 Penguin presents, this downloadable, unabridged audiobook edition of the second title in this number one, bestselling spin-off series from Percy Jackson creator, Rick Riordan. This crazy messed up world of gods and monsters is Percy Jackson's reality, which pretty much sucks for him. Percy Jackson, son of Poseidon, God of the Sea, has woken from a very deep sleep and come face to face with two snake-haired ladies who refuse to die.",son neptune hero olympus book penguin present downloadable unabridged audiobook edition second title number one bestselling spinoff series percy jackson creator rick riordan crazy messed world god monster percy jackson reality pretty much suck percy jackson son poseidon god sea woken deep sleep come face face two snakehaired lady refuse die,0,69,53
Normal People,Sally Rooney,4.3,7498,645,Winner of the Specsavers International Author of the Year 2018 Winner of the Costa Best Novel Award 2018,456.0,1,Contemporary Fiction,Normal People Winner of the Specsavers International Author of the Year 2018 Winner of the Costa Best Novel Award 2018,normal people winner specsavers international author year winner costa best novel award,0,43,43
The Ultimate Brian Tracy Library,Brian Tracy,4.5,267,2008,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",485.5,3,Theology & Philosophy of Religion,"The Ultimate Brian Tracy Library Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",ultimate brian tracy library sorry need make sure youre robot best result please make sure browser accepting cooky,1,16,2
Inside Chanakya's Mind: Aanvikshiki and the Art of Thinking,Radhakrishnan Pillai,4.3,94,703,The definitive new book from India’s number one business writer,357.0,1,Literature & Fiction,Inside Chanakya's Mind: Aanvikshiki and the Art of Thinking The definitive new book from India’s number one business writer,inside chanakyas mind aanvikshiki art thinking definitive new book india number one business writer,0,46,47
How the Onion Got Its Layers,Sudha Murty,4.2,41,200,Have you noticed how the onion has so many layers? And have you seen your mother's eyes water when she cuts an onion? Here is a remarkable story to tell you why.,11.0,701,Fantasy & Magic for Children,How the Onion Got Its Layers Have you noticed how the onion has so many layers? And have you seen your mother's eyes water when she cuts an onion? Here is a remarkable story to tell you why.,onion got layer noticed onion many layer seen mother eye water cut onion remarkable story tell,0,3,96
La pizza: Change ma vie 25,Clotilde Dusoulier,3.4,126,0,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",7.0,40,Personal Success,"La pizza: Change ma vie 25 
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",pizza change vie completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,0,1,20
